x, sin(x), Taylor_approx
0,0.00000,0.00000
1,0.01745,0.01745
2,0.03490,0.03490
3,0.05234,0.05234
4,0.06976,0.06976
5,0.08716,0.08716
6,0.10453,0.10453
7,0.12187,0.12187
8,0.13917,0.13917
9,0.15643,0.15643
10,0.17365,0.17365
11,0.19081,0.19081
12,0.20791,0.20791
13,0.22495,0.22495
14,0.24192,0.24192
15,0.25882,0.25882
16,0.27564,0.27564
17,0.29237,0.29237
18,0.30902,0.30902
19,0.32557,0.32557
20,0.34202,0.34202
21,0.35837,0.35837
22,0.37461,0.37461
23,0.39073,0.39073
24,0.40674,0.40674
25,0.42262,0.42262
26,0.43837,0.43837
27,0.45399,0.45399
28,0.46947,0.46947
29,0.48481,0.48481
30,0.50000,0.50000
31,0.51504,0.51504
32,0.52992,0.52992
33,0.54464,0.54464
34,0.55919,0.55919
35,0.57358,0.57358
36,0.58779,0.58779
37,0.60182,0.60182
38,0.61566,0.61566
39,0.62932,0.62932
40,0.64279,0.64279
41,0.65606,0.65606
42,0.66913,0.66913
43,0.68200,0.68200
44,0.69466,0.69466
45,0.70711,0.70711
46,0.71934,0.71934
47,0.73135,0.73135
48,0.74314,0.74314
49,0.75471,0.75471
50,0.76604,0.76604
51,0.77715,0.77715
52,0.78801,0.78801
53,0.79864,0.79864
54,0.80902,0.80902
55,0.81915,0.81915
56,0.82904,0.82904
57,0.83867,0.83867
58,0.84805,0.84805
59,0.85717,0.85717
60,0.86603,0.86603
61,0.87462,0.87462
62,0.88295,0.88295
63,0.89101,0.89101
64,0.89879,0.89879
65,0.90631,0.90631
66,0.91355,0.91355
67,0.92050,0.92050
68,0.92718,0.92718
69,0.93358,0.93358
70,0.93969,0.93969
71,0.94552,0.94552
72,0.95106,0.95106
73,0.95630,0.95630
74,0.96126,0.96126
75,0.96593,0.96593
76,0.97030,0.97030
77,0.97437,0.97437
78,0.97815,0.97815
79,0.98163,0.98163
80,0.98481,0.98481
81,0.98769,0.98769
82,0.99027,0.99027
83,0.99255,0.99255
84,0.99452,0.99452
85,0.99619,0.99619
86,0.99756,0.99756
87,0.99863,0.99863
88,0.99939,0.99939
89,0.99985,0.99985
90,1.00000,1.00000
91,0.99985,0.99985
92,0.99939,0.99939
93,0.99863,0.99863
94,0.99756,0.99756
95,0.99619,0.99619
96,0.99452,0.99452
97,0.99255,0.99255
98,0.99027,0.99027
99,0.98769,0.98769
100,0.98481,0.98481
101,0.98163,0.98163
102,0.97815,0.97815
103,0.97437,0.97437
104,0.97030,0.97030
105,0.96593,0.96593
106,0.96126,0.96126
107,0.95630,0.95630
108,0.95106,0.95106
109,0.94552,0.94552
110,0.93969,0.93969
111,0.93358,0.93358
112,0.92718,0.92718
113,0.92050,0.92050
114,0.91355,0.91354
115,0.90631,0.90631
116,0.89879,0.89879
117,0.89101,0.89100
118,0.88295,0.88295
119,0.87462,0.87462
120,0.86603,0.86602
121,0.85717,0.85716
122,0.84805,0.84805
123,0.83867,0.83867
124,0.82904,0.82903
125,0.81915,0.81915
126,0.80902,0.80901
127,0.79864,0.79863
128,0.78801,0.78801
129,0.77715,0.77714
130,0.76604,0.76604
131,0.75471,0.75470
132,0.74314,0.74314
133,0.73135,0.73134
134,0.71934,0.71933
135,0.70711,0.70710
136,0.69466,0.69465
137,0.68200,0.68199
138,0.66913,0.66912
139,0.65606,0.65604
140,0.64279,0.64277
141,0.62932,0.62930
142,0.61566,0.61564
143,0.60182,0.60179
144,0.58779,0.58776
145,0.57358,0.57355
146,0.55919,0.55916
147,0.54464,0.54461
148,0.52992,0.52988
149,0.51504,0.51500
150,0.50000,0.49996
151,0.48481,0.48476
152,0.46947,0.46942
153,0.45399,0.45394
154,0.43837,0.43831
155,0.42262,0.42255
156,0.40674,0.40667
157,0.39073,0.39066
158,0.37461,0.37452
159,0.35837,0.35828
160,0.34202,0.34192
161,0.32557,0.32546
162,0.30902,0.30890
163,0.29237,0.29225
164,0.27564,0.27550
165,0.25882,0.25867
166,0.24192,0.24177
167,0.22495,0.22478
168,0.20791,0.20773
169,0.19081,0.19061
170,0.17365,0.17344
171,0.15643,0.15620
172,0.13917,0.13893
173,0.12187,0.12160
174,0.10453,0.10424
175,0.08716,0.08685
176,0.06976,0.06942
177,0.05234,0.05198
178,0.03490,0.03451
179,0.01745,0.01704
180,0.00000,-0.00045
181,-0.01745,-0.01793
182,-0.03490,-0.03541
183,-0.05234,-0.05289
184,-0.06976,-0.07035
185,-0.08716,-0.08779
186,-0.10453,-0.10521
187,-0.12187,-0.12260
188,-0.13917,-0.13995
189,-0.15643,-0.15727
190,-0.17365,-0.17454
191,-0.19081,-0.19177
192,-0.20791,-0.20894
193,-0.22495,-0.22605
194,-0.24192,-0.24309
195,-0.25882,-0.26007
196,-0.27564,-0.27697
197,-0.29237,-0.29380
198,-0.30902,-0.31054
199,-0.32557,-0.32719
200,-0.34202,-0.34375
201,-0.35837,-0.36022
202,-0.37461,-0.37658
203,-0.39073,-0.39283
204,-0.40674,-0.40897
205,-0.42262,-0.42500
206,-0.43837,-0.44091
207,-0.45399,-0.45669
208,-0.46947,-0.47234
209,-0.48481,-0.48786
210,-0.50000,-0.50325
211,-0.51504,-0.51849
212,-0.52992,-0.53359
213,-0.54464,-0.54854
214,-0.55919,-0.56333
215,-0.57358,-0.57797
216,-0.58779,-0.59245
217,-0.60182,-0.60677
218,-0.61566,-0.62092
219,-0.62932,-0.63490
220,-0.64279,-0.64870
221,-0.65606,-0.66233
222,-0.66913,-0.67577
223,-0.68200,-0.68904
224,-0.69466,-0.70211
225,-0.70711,-0.71500
226,-0.71934,-0.72770
227,-0.73135,-0.74020
228,-0.74314,-0.75250
229,-0.75471,-0.76461
230,-0.76604,-0.77651
231,-0.77715,-0.78822
232,-0.78801,-0.79971
233,-0.79864,-0.81100
234,-0.80902,-0.82208
235,-0.81915,-0.83295
236,-0.82904,-0.84361
237,-0.83867,-0.85406
238,-0.84805,-0.86429
239,-0.85717,-0.87431
240,-0.86603,-0.88411
241,-0.87462,-0.89370
242,-0.88295,-0.90307
243,-0.89101,-0.91222
244,-0.89879,-0.92116
245,-0.90631,-0.92988
246,-0.91355,-0.93838
247,-0.92050,-0.94667
248,-0.92718,-0.95474
249,-0.93358,-0.96259
250,-0.93969,-0.97024
251,-0.94552,-0.97767
252,-0.95106,-0.98489
253,-0.95630,-0.99190
254,-0.96126,-0.99870
255,-0.96593,-1.00530
256,-0.97030,-1.01170
257,-0.97437,-1.01789
258,-0.97815,-1.02389
259,-0.98163,-1.02970
260,-0.98481,-1.03531
261,-0.98769,-1.04074
262,-0.99027,-1.04598
263,-0.99255,-1.05105
264,-0.99452,-1.05594
265,-0.99619,-1.06065
266,-0.99756,-1.06521
267,-0.99863,-1.06960
268,-0.99939,-1.07385
269,-0.99985,-1.07794
270,-1.00000,-1.08189
271,-0.99985,-1.08571
272,-0.99939,-1.08939
273,-0.99863,-1.09296
274,-0.99756,-1.09641
275,-0.99619,-1.09976
276,-0.99452,-1.10301
277,-0.99255,-1.10617
278,-0.99027,-1.10925
279,-0.98769,-1.11226
280,-0.98481,-1.11521
281,-0.98163,-1.11811
282,-0.97815,-1.12098
283,-0.97437,-1.12381
284,-0.97030,-1.12663
285,-0.96593,-1.12944
286,-0.96126,-1.13226
287,-0.95630,-1.13510
288,-0.95106,-1.13798
289,-0.94552,-1.14090
290,-0.93969,-1.14389
291,-0.93358,-1.14695
292,-0.92718,-1.15011
293,-0.92050,-1.15338
294,-0.91355,-1.15677
295,-0.90631,-1.16031
296,-0.89879,-1.16401
297,-0.89101,-1.16789
298,-0.88295,-1.17196
299,-0.87462,-1.17626
300,-0.86603,-1.18079
301,-0.85717,-1.18558
302,-0.84805,-1.19065
303,-0.83867,-1.19603
304,-0.82904,-1.20173
305,-0.81915,-1.20778
306,-0.80902,-1.21420
307,-0.79864,-1.22103
308,-0.78801,-1.22828
309,-0.77715,-1.23598
310,-0.76604,-1.24417
311,-0.75471,-1.25286
312,-0.74314,-1.26209
313,-0.73135,-1.27189
314,-0.71934,-1.28229
315,-0.70711,-1.29332
316,-0.69466,-1.30501
